case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_010,2,ok,0.185805082321167,86969.0,45272,1.9210328679978794,48384,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_2core.json,
case_010,3,ok,0.20601367950439453,86969.0,30856,2.8185442053409386,48384,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_3core.json,
case_010,4,ok,0.2645883560180664,86969.0,26214,3.317654688334478,528392,4,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_4core.json,
case_010,5,ok,0.4432790279388428,86969.0,24978,3.4818240051245097,556150,5,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_010_5core.json,
case_011,2,ok,0.19423747062683105,184697.0,92646,1.9935777043801135,180224,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_011_2core.json,
case_011,3,ok,0.34679198265075684,184697.0,68138,2.710631365757727,1343488,3,2,v14_conservative,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_011_3core.json,
case_011,4,ok,0.17960786819458008,184697.0,46880,3.9397824232081913,540672,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_011_4core.json,
case_011,5,ok,0.3491654396057129,184697.0,42962,4.2990782552022715,1343488,5,2,v14_conservative,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_011_5core.json,
case_012,2,ok,0.30136609077453613,59088.0,30094,1.9634478633614674,28800,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_012_2core.json,
case_012,3,ok,0.2794160842895508,59088.0,20084,2.942043417645887,29376,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_012_3core.json,
case_012,4,ok,0.21940946578979492,59088.0,17021,3.471476411491687,84096,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_012_4core.json,
case_012,5,ok,0.29288196563720703,59088.0,14300,4.132027972027972,49536,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_012_5core.json,
case_013,2,ok,0.6949355602264404,263949.0,132198,1.9966187083011846,8192,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_013_2core.json,
case_013,3,ok,0.5719985961914062,263949.0,88351,2.98750438591527,16384,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_013_3core.json,
case_013,4,ok,0.513073205947876,263949.0,66982,3.9405959810098237,24576,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_013_4core.json,
case_013,5,ok,0.48316216468811035,263949.0,54363,4.855305998565201,32768,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_013_5core.json,
case_014,2,ok,33.13631248474121,17698626.0,8714185,2.031013342039445,124052664,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_014_2core.json,
case_014,3,ok,46.81054425239563,17698626.0,5826073,3.037831142864156,125782968,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_014_3core.json,
case_014,4,ok,39.9016535282135,17698626.0,4479067,3.9514090769349957,139665340,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_014_4core.json,
case_014,5,ok,48.62327218055725,17698626.0,3625533,4.881661813587133,139665340,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_014_5core.json,
case_015,2,ok,0.392683744430542,177362.0,90823,1.9528313312707133,897024,2,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_015_2core.json,
case_015,3,ok,0.2888669967651367,177362.0,60807,2.916802341835644,306448,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_015_3core.json,
case_015,4,ok,0.3924405574798584,177362.0,47971,3.6972754372433343,897024,4,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_015_4core.json,
case_015,5,ok,0.40755200386047363,177362.0,42141,4.20877530196246,823296,5,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_015_5core.json,
case_016,2,ok,50.671067237854004,7715523.0,5187530,1.4873211335645289,119569976,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_016_2core.json,
case_016,3,ok,52.674850940704346,7715523.0,4034783,1.9122522822169123,119571192,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_016_3core.json,
case_016,4,ok,42.12289381027222,7715523.0,3740482,2.0627082285117266,119569976,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_016_4core.json,
case_016,5,ok,39.419731855392456,7715523.0,3293532,2.3426288252247134,119569976,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_016_5core.json,
case_017,2,ok,0.4534602165222168,162810.0,80744,2.016372733577727,576392,2,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_017_2core.json,
case_017,3,ok,0.6782350540161133,162810.0,54172,3.005427157941372,426632,3,3,v14_conservative,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_017_3core.json,
case_017,4,ok,0.5239424705505371,162810.0,42257,3.852852781787633,576392,4,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_017_4core.json,
case_017,5,ok,0.4156651496887207,162810.0,35496,4.586713995943205,340992,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_017_5core.json,
case_018,2,ok,1.9751901626586914,1004367.0,498153,2.016181775478618,9359104,2,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_018_2core.json,
case_018,3,ok,1.405646800994873,1004367.0,338272,2.969110656513102,3867008,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_018_3core.json,
case_018,4,ok,2.2238268852233887,1004367.0,255266,3.934589800443459,9359104,4,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_018_4core.json,
