case,cores,status,seconds,single,makespan,speedup,selected,plan,error
case_036,2,ok,20.005736827850342,931510,466068,1.998656848356892,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_036_2core.json,
case_037,2,ok,6.607365369796753,210001,105374,1.992910964754114,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_037_2core.json,
case_038,2,ok,329.64165711402893,1364555,669789,2.037290848311931,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_038_2core.json,
case_039,2,ok,213.3241195678711,1435262,693424,2.0698187544705693,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_039_2core.json,
case_040,2,ok,62.5060396194458,253454,136325,1.859189437007152,reassign_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_040_2core.json,
case_041,2,ok,1934.0103969573975,6003957,2963356,2.026066729748299,r1_reassign_slackprio_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_041_2core.json,
case_042,2,ok,165.0854296684265,1686740,837915,2.0130204137651195,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_042_2core.json,
case_043,2,ok,242.01315760612488,677656,353177,1.918743293023045,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_043_2core.json,
case_044,2,ok,19.860063552856445,154407,75966,2.032580364900087,reassign_0.1+task_sa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_044_2core.json,
case_045,2,ok,10.924662351608276,125614,63059,1.99200748505368,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_045_2core.json,
case_046,2,ok,14.366952419281006,276455,139710,1.9787774676114809,v7_active3_strong96+task_sa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_046_2core.json,
case_047,2,ok,540.6874978542328,326508,223631,1.4600301389342265,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_047_2core.json,
case_048,2,ok,22.23638892173767,222220,137166,1.6200807780353732,r1_reassign_slackprio_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_048_2core.json,
case_049,2,ok,73.01867628097534,196276,114547,1.7134975163033515,r4_gate025_pack20_reassign_a1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_049_2core.json,
case_050,2,ok,80.99371266365051,149690,87913,1.702706084424374,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_050_2core.json,
case_051,2,ok,11.003765106201172,607628,410530,1.4801062041750908,level_strong_1024_8,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_051_2core.json,
case_052,2,ok,20.37337565422058,180301,90336,1.9958931101664896,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_052_2core.json,
case_053,2,ok,356.8221480846405,1472686,762751,1.930755908546826,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_053_2core.json,
case_054,2,ok,612.5345025062561,815051,489565,1.6648473644970536,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_054_2core.json,
case_055,2,ok,13.27743148803711,118835,54822,2.167651672686148,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_055_2core.json,
case_056,2,ok,173.11414170265198,277285,165025,1.680260566580821,r2_heft_slackprio_g025_aggressive_160_20,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_056_2core.json,
case_057,2,ok,12.60317063331604,59726,30958,1.929258996059177,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_057_2core.json,
case_058,2,ok,1171.4484655857086,4539717,2187195,2.075588596352863,reassign_0.1+task_sa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_058_2core.json,
case_059,2,ok,27.68659496307373,829473,369318,2.2459587672412393,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_059_2core.json,
case_060,2,ok,236.04669189453125,888789,387568,2.293246604466829,r4_struct_taskgsa_from_r4_gate025_pack30_reassign_a01+task_gsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_060_2core.json,
case_061,2,ok,16.369020462036133,77191,38819,1.9884850202220563,clusterphase_aggressive_96_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_061_2core.json,
case_062,2,ok,1309.2767462730408,2854809,1444896,1.975788568865856,level_strong_1024_8,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_062_2core.json,
case_063,2,ok,222.7162733078003,1070397,546562,1.9584182581299103,level_strong_1024_8+task_sa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_063_2core.json,
case_064,2,ok,20.168632745742798,19116,14678,1.3023572693827496,r4_struct_edgegsa_from_r4_gate025_pack20_reassign_a3+r1_edgegsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_064_2core.json,
case_065,2,ok,7.513822555541992,53068,26928,1.970736779560309,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_065_2core.json,
case_066,2,ok,127.31650471687317,359070,200617,1.7898283794493985,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_066_2core.json,
case_067,2,ok,141.96097254753113,63834834,31958112,1.9974532287764684,reassign_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_067_2core.json,
case_068,2,ok,111.628986120224,362095,207093,1.748465665184241,r1_slackgate_aggressive_160_20,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_068_2core.json,
case_069,2,ok,19.992431640625,25144,17403,1.4448083663736138,reassign_0.1+task_sa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_069_2core.json,
case_070,2,ok,13.575572967529297,117300,58525,2.0042716787697565,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_070_2core.json,
case_071,2,ok,16.046252965927124,18919,12369,1.529549680653246,reassign_3+task_sa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_071_2core.json,
case_072,2,ok,3985.2065241336823,23897828,11671302,2.0475717276444394,reassign_2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_072_2core.json,
case_073,2,ok,110.88446283340454,10081626,5273105,1.9118955529996084,reassign_0.1+task_sa_b0.5+r1_edgegsa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_073_2core.json,
case_074,2,ok,114.57475519180298,1682239,809920,2.0770434116949823,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_074_2core.json,
case_075,2,ok,192.89660215377808,1441809,818827,1.7608224936402928,reassign_2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_075_2core.json,
case_076,2,ok,8020.4744074344635,6185113,3038307,2.0357103479009857,r4_struct_taskgsa_from_r4_gate025_pack30_reassign_a01+task_gsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_076_2core.json,
case_077,2,ok,77.70639038085938,495320,250735,1.9754721119907472,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_077_2core.json,
case_078,2,ok,12.02258563041687,2296143,1080972,2.1241466013920807,level_aggressive_160_20,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_078_2core.json,
case_079,2,ok,1192.7223799228668,31052251,14731022,2.1079495366988117,level_aggressive_96_30,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_079_2core.json,
case_080,2,ok,11.97076153755188,292138,145926,2.0019598974822856,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_080_2core.json,
case_081,2,ok,38.77223443984985,151795,76860,1.9749544626593807,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_081_2core.json,
case_082,2,ok,72.35678434371948,721041,410425,1.7568154961320583,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_082_2core.json,
case_083,2,ok,69.66432690620422,1057993,465319,2.2736939604873214,v7_active3_strong96+task_sa_b0.5,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_083_2core.json,
case_084,2,ok,179.00723505020142,2507412,1027610,2.4400424285477955,level_none_80_20,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_084_2core.json,
case_085,2,ok,944.8941562175751,3187899,1919341,1.6609341435419762,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_085_2core.json,
case_086,2,ok,105.38567209243774,118403,89363,1.3249667088168482,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_086_2core.json,
case_087,2,ok,1551.719465970993,3974071,1985234,2.0018148994022873,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_087_2core.json,
case_088,2,ok,57.91466164588928,243623,142669,1.7076099222676264,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_088_2core.json,
case_089,2,ok,38.01045608520508,693092,346832,1.998350786547954,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_089_2core.json,
case_090,2,ok,16.143455505371094,1178363,506285,2.3274697057981175,r1_reassign_slackprio_0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_090_2core.json,
case_091,2,ok,7180.442237854004,9186769,4512626,2.035792241590595,r4_struct_taskgsa_from_r4_gate025_pack30_reassign_a01+task_gsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_091_2core.json,
case_092,2,ok,399.57240080833435,4815554,2165742,2.2235123112540642,level_strong_1024_8,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_092_2core.json,
case_093,2,ok,4.564164400100708,74205,37827,1.9616940280751844,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_093_2core.json,
case_094,2,ok,10.015891790390015,94892,47889,1.9814988828332185,level_strong_128_12+task_sa_b0.5,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_094_2core.json,
case_095,2,ok,39.26156497001648,2084853,1042890,1.9991111238960964,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_095_2core.json,
case_096,2,ok,20.764771461486816,84194,44939,1.8735174347448764,reassign_0.1+task_sa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_096_2core.json,
case_097,2,ok,225.82401585578918,11491509,5159216,2.2273750507829098,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_097_2core.json,
case_098,2,ok,12.838568687438965,177430,89756,1.9768037791345425,wcc_active2,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_098_2core.json,
case_099,2,ok,344.6022205352783,1622999,802359,2.0227840654868956,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0.02,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_099_2core.json,
case_100,2,ok,26.22022271156311,151223,77100,1.9613878080415046,r4_struct_taskgsa_from_r4_gate025_pack20_reassign_a0+task_gsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_100_2core.json,
case_001,3,ok,3.2768566608428955,233110,78545,2.9678528232223567,wcc_active3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_001_3core.json,
case_002,3,ok,26.81009840965271,261945,94580,2.7695601607105096,level_strong_1024_8+task_gsa_b0.1,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_002_3core.json,
case_003,3,ok,446.1624205112457,602212,261921,2.2992123579247177,r4_gate025_pack20_reassign_a3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_003_3core.json,
case_004,3,ok,4.116955757141113,392357,134043,2.927098020784375,wcc_active3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_004_3core.json,
case_005,3,ok,81.35671663284302,95618,58418,1.6367900304700607,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_005_3core.json,
case_006,3,ok,7.151993274688721,82837,29395,2.81806429664909,r4_struct_edgegsa_from_r4_gate025_pack12_reassign_a01+r1_edgegsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_006_3core.json,
case_007,3,ok,33.27888464927673,1012562,338094,2.994912657426633,wcc_active3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_007_3core.json,
case_008,3,ok,5.112780570983887,487605,163359,2.984867684057811,wcc_active3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_008_3core.json,
case_009,3,ok,137.84940218925476,153261,65962,2.323474121463873,r4_gate025_pack12_reassign_a01,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_009_3core.json,
case_010,3,ok,7.67005729675293,86969,30856,2.8185442053409386,wcc_active3,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_010_3core.json,
case_011,3,ok,11.396205425262451,184697,68507,2.696031062519159,level_strong_1024_8+task_gsa_b0.02+r1_edgegsa_b0,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V10_result/V10_final_2-3-4-5core_allcase_plans/case_011_3core.json,
