case,cores,status,seconds,selected,single,makespan,speedup,added_copy,subgraphs,error
case_049,3,ok,73.561552459,aggr_dense6k+reassign1+reassign2+reassign3,196276,85788,2.2879190562782674,1500822,155,
case_049,4,ok,70.15324525,aggr_mixed4k,196276,70785,2.7728473546655366,1063298,277,
case_049,5,ok,61.38570366700003,aggr_mid12,196276,59804,3.2819878269012106,1059076,259,
case_051,2,ok,13.366135958999998,strong_b10,607628,393001,1.5461232923071442,9046310,312,
case_051,3,ok,31.55756145800001,strong_b10,607628,336412,1.8062019190754195,9046402,408,
case_051,4,ok,16.827648458,strong_b10+reassign0.1,607628,295141,2.0587719090197565,9046494,456,
case_051,5,ok,17.51197666600001,strong_long8,607628,259924,2.337714101044921,9046494,456,
case_052,2,ok,5.997817374999997,aggr_mixed4k,180301,90358,1.9954071581929658,559104,8,
case_052,3,ok,15.94933345800007,wcc_pack3,180301,63373,2.8450759787291116,181248,3,
case_052,4,ok,8.847829832999992,wcc_pack3,180301,47964,3.7590901509465433,259584,4,
case_052,5,ok,8.75395787499997,aggr_ultrafine20,180301,38150,4.72610747051114,694280,21,
case_055,2,ok,7.468173916999994,aggr_dense6k+reassign0.1,118835,54434,2.1831024727192565,216080,14,
case_055,3,ok,15.90679508400001,aggr_mixed4k,118835,37502,3.1687643325689296,183300,13,
case_055,4,ok,8.907193457999995,aggr_b15,118835,28923,4.108667842201708,206336,12,
case_055,5,ok,9.162246207999942,slack_safe12,118835,25338,4.689991317388902,214528,13,
case_057,2,ok,4.405627708999994,aggr_b15+reassign0.1,59726,30596,1.9520852399006405,0,6,
case_057,3,ok,10.429353083000024,"aggr_mixed4k+merge(2,12)",59726,21046,2.837878931863537,42048,12,
case_057,4,ok,5.946693874999994,aggr_b15,59726,16655,3.5860702491744223,42048,12,
case_057,5,ok,5.636195083999951,aggr_mid12,59726,13981,4.271940490665903,56392,14,
case_059,2,ok,43.628561667,wcc_pack3,829473,369318,2.2459587672412393,360448,2,
case_059,3,ok,42.72592575,strong_b10,829473,249885,3.319418932709046,4292608,18,
case_059,4,ok,29.672309417000008,wcc_pack3,829473,185216,4.478408992743607,1081344,4,
case_059,5,ok,39.50663750000001,wcc_pack3,829473,150782,5.501140719714555,4325376,5,
case_061,2,ok,10.427323125000001,wcc_pack3,77191,39336,1.962350010168802,34560,2,
case_061,3,ok,15.395593875000031,wcc_pack3,77191,28409,2.7171318948220633,43008,3,
case_061,4,ok,9.543007500000044,wcc_pack3,77191,22111,3.491067794310524,62208,4,
case_061,5,ok,8.984667290999937,aggr_mixed4k,77191,20122,3.836149488122453,262664,22,
case_064,2,ok,8.473508874999993,aggr_ultrafine20+reassign1+reassign2,19116,15522,1.231542327019714,110658,29,
case_064,3,ok,10.226328666999999,aggr_ultrafine20+reassign0.1+reassign1,19116,13828,1.3824124963841482,110722,31,
case_064,4,ok,6.590139499999964,aggr_ultrafine20+reassign1,19116,10280,1.8595330739299611,110722,31,
case_064,5,ok,6.767976875000045,aggr_ultrafine20,19116,10281,1.8593522030930842,110722,31,
case_065,2,ok,6.280719833000006,wcc_pack3,53068,26928,1.970736779560309,13968,2,
case_065,3,ok,7.267754292,wcc_pack3,53068,18135,2.926275158533223,27792,3,
case_065,4,ok,5.247433207999961,wcc_pack3,53068,14463,3.6692249187582107,41616,4,
case_065,5,ok,4.897495958000036,wcc_pack3,53068,12169,4.3609170843947735,55584,5,
case_069,2,ok,13.892614957999996,aggr_ultrafine20+reassign0.1+reassign2,25144,21541,1.1672624297850611,593930,46,
case_069,3,ok,14.436862875000001,aggr_dense6k+reassign0.1+reassign3,25144,17101,1.4703233729021694,545674,66,
case_069,4,ok,14.050063875000035,"aggr_fine15+reassign0.1+merge(43,49)",25144,16747,1.5014032364005494,538078,53,
case_069,5,ok,11.165178125000011,aggr_ultrafine20+reassign3,25144,16823,1.4946204600844082,604194,70,
case_070,2,ok,13.558306791000007,wcc_pack3,117300,58425,2.0077021822849805,129536,2,
case_070,3,ok,12.375488917,aggr_b15+reassign0.1,117300,40130,2.923000249190132,814596,10,
case_070,4,ok,9.689388375000021,aggr_fine15,117300,32784,3.57796486090776,1103384,16,
case_070,5,ok,9.985730791000037,wcc_pack3,117300,27847,4.212302941070852,462848,5,
case_071,2,ok,8.893035957999999,aggr_fine15,18919,15676,1.2068767542740495,346412,33,
case_071,3,ok,8.567121334,aggr_dense6k,18919,13329,1.419386300547678,356420,49,
case_071,4,ok,8.025348124999994,aggr_fine15+reassign1,18919,11867,1.594252970422179,350264,43,
